Albizia adianthifolia,0.56

Albizia gummifera,0.57

Alstonia congensis,0.35

Autranella congolensis,0.88

Canarium schweinfurthii,0.44

Ceiba pentandra,0.30

Chlorophora excelsai,0.57

Dacryodes edulis,0.62

Entandrophragma angolense,0.57

Entandrophragma candollei,0.58

Entandrophragma cylindricum,0.60

Entandrophragma utile,0.59

Gilbertiodendron dewevrei,0.78

Gossweilerodendron balsamiferum,0.48

Guarea cedrata,0.63

Guarea laurentii,0.63

Hallea stipulosa,0.56

Khaya anthotheca,0.54

Klainedoxa gabonensis,0.87

Lovoa trichilioides,0.58

Maesopsis eminii,0.44

Mammea africana,0.70

Millettia laurentii,0.79

Morinda lucida,0.60

Musanga cecropioides,0.21

Myrianthus arboreus,0.55

Nauclea diderrichii,0.71

Ongokea klaineana,0.76

Panda oleosa,0.67

Pentaclethra eetveldeana,0.73

Pentaclethra macrophylla,0.80

Pericopsis elata,0.70

Petersianthus macrocarpus,0.73

Polyalthia suaveolens,0.72

Prioria oxyphylla,0.60

Pterocarpus soyauxii,0.72

Pterocarpus tinctorius,0.65

Ricinodendron heudelotii,0.26

Scorodophloeus zenkeri,0.76

Staudtia kamerunensis,0.80

Strombosia grandifolia,0.75

Strombosiopsis tetrandra,0.73

Symphonia globulifera,0.68

Syzygium guineense,0.71

Terminalia superba,0.54

Tetrorchidium didymostemon,0.44

Treculia Africana,0.67

Trema orientalis,0.51

Uapaca guineensis,0.71

Vitex madiensis,0.55

Xylopia aethiopica,0.59

Zanthoxylum gilletiii,0.71

