Acacia auriculiformis,0.77
Grevillea robusta,0.30
Acacia catechu,0.76
Hevaea brasiliensis,0.79
Achras sapota,0.59
Lagerstroemia parviflora,0.56
Aegle marmelos,0.64
Lagerstroemia indica,0.54
Albizia lebbek,0.90
Lannea coromandelica,0.46
Albizia chinensis,0.56
Lagerstroemia speciosa,0.92
Albizia procera,0.67
Litchi chinensis,0.85
Litsea monopetala,0.53
Ailanthus excelsa,0.52
Machilus edulis,0.69
Alstonia scholaris,0.49
Magnolia grandiflora,0.65
Amoora rohituka,0.60
Mallotus phillippensis,0.44
Anacardium occidentale,0.49
Mallotus tetracoccus,0.59
Anthocephalus cadamba,0.60
Mangifera indica,0.46
Araucaria columnaris,0.50
Melia azedarach,0.66
Artocarpus heterophyllus,0.59
Michelia champaca,0.60
Averrhoa carambola,0.49
Mimusops elengi,0.55
Azadirachta indica,0.21
Moringa oleifera,0.54
Baccaurea ramiflora,0.61
Morus alba,0.49
Barringtonia acutangula,0.53
Oroxylum indicum,0.67
Bauhinnia veriegata,0.10
Parkia roxburghii,0.69
Bischofia javanica,0.49
Plumeria rubra,0.64
Bixa orellana,0.67
Polyalthia longifolia,0.45
Bombax ceiba,0.27
Pongamia pinnata,0.73
Butea monosperma,0.74
Populus deltoides,0.63
Callistemon lanceolatus,0.83
Psidium gujava,0.74
Cassia fistula,0.67
Pterospermum acerifolium,0.38
Cassia javanica,0.79
Pyrus communis,0.23
Saraca asoca,0.81
Salix tetrasperma,0.67
Ceiba pentandra,0.36
Schima wallichii,0.67
Chukrasia tabularis,0.67
Spathodea campanulata,0.71
Citrus maxima,0.61
Sterculia villosa,0.66
Dalbergia sissoo,0.68
Swietenia macrophylla,0.64
Delonix regia,0.63
Syzyygium aqueum,0.39
Ehretia acuminata,0.71
Syzygium cuminii,0.30
Elaeocarpus ganitrus,0.79
Syzygium jambos,0.68
Elaeocarpus floribunda,0.23
Tectona grandis,0.85
Emblica officinalis,0.78
Terminalia alata,0.44
Erythrina variegata,0.60
Terminalia arjuna,0.66
Ficus benghalensis,0.19
Terminalia bellerica,0.42
Ficus elastica,0.28
Terminalia tomentosa,0.42
Ficus glomerata,0.38
Toona ciliata,0.64
Ficus religiosa,0.51
